AH,RI,Temp_Diff,RI_Max,WS_Max,Hour
4.358877064,0.157651774,-2.232,0.171380965764848,2.035088651,22
4.614897754,0.023360465,-0.1,0.0246411224860632,3.985779334,4
4.261797847,0.045391042,0.215,0.0476238175081305,0.265899583,12
4.320495221,0.048121158,0.29,0.0526456130900894,1.449475199,12
4.176057686,0.102035625,0.553,0.104548266172597,1.110750095,11
3.889633771,0.008055293,0.6,0.0084830545103739,2.04457615,8
4.224103919,0.02193557,0.35,0.0229954597741102,1.794743759,11
4.215237083,0.049338764,0.4,0.0498882832430327,1.704041774,11
4.618260385,0.432980156,-2.112,0.471766581588379,3.813891005,22
3.084959971,0.0,-0.3,0.0,2.224979657,17
4.77435949,0.0,-0.4,0.0,3.760311353,0
4.206095809,0.039361198,0.423,0.0400432932472181,1.10853702,8
3.792223537,0.0,0.0,0.0,1.687009527,4
3.799631103,0.010073464,0.1,0.0105248359383721,0.119961151,4
4.208490026,0.065290347,0.468,0.0708766191945842,1.185642716,11
4.050381705,0.0,0.2,0.0,2.153845698,10
4.016641462,0.0,-0.1,0.0,0.0,6
4.100936452,0.018793209,0.388,0.0193731147435874,1.721647377,11
4.309892187,0.166702461,-2.3,0.172960051449918,0.701887097,22
2.973155539,0.0,0.067,0.0,0.661639586,12
4.711607613,0.190177073,-0.4,0.192485950432485,5.358368803,0
4.319033919,0.093835666,0.34,0.0993263186543665,1.595553149,12
4.41567005,0.031470392,0.315,0.0315832302183244,2.114521145,12
4.600636984,0.482051504,-0.4,0.487361963816661,4.395425667,22
3.988641048,0.019277217,-0.35,0.0193638762316132,2.417578058,5
4.368888273,0.093660143,0.445,0.101457969008453,1.542975862,12
4.265120765,0.11319276,0.2,0.11900230298933,1.374742078,8
4.090315599,0.217830558,0.1,0.231711751138819,1.034532795,6
3.971301723,0.163421649,0.2,0.177044529728435,0.783915752,6
3.930931783,0.010085816,0.253,0.0107082370755147,3.151739523,10
4.647209788,0.463555966,-0.377,0.507340793950904,4.48526181,0
4.231707149,0.0,0.25,0.0,0.9282495,8
4.572041485,0.363565047,-2.22,0.399843967914861,2.743020687,22
4.578746522,0.188960578,-2.459,0.189942268269463,2.875547166,22
4.285396764,0.044619085,0.264,0.0462632131655798,1.264898572,12
4.717892968,0.331408149,-0.3,0.352773823665949,5.282730147,0
4.344728627,0.053582027,-2.278,0.0567118597060339,2.749718589,22
4.696727565,0.149523095,-1.008,0.162936645080346,4.587128258,23
4.35745537,0.052101698,0.4,0.0570779366511625,0.383350969,12
3.889596852,0.0,0.6,0.0,1.627086131,8
4.680198471,0.124508922,0.0,0.135411660842148,4.769705832,0
4.233657624,0.061025306,0.264,0.0640844201359186,1.018556704,12
3.934466475,0.078967429,0.0,0.0822602549286949,0.0,6
